Mood,Tempo (BPM),Energy (RMS),Timbre (Centroid)
angry,129.19921875,0.14853115,2627.886528019956
angry,135.99917763157896,0.1253993,2588.197754279237
angry,129.19921875,0.20638531,2528.320543371289
angry,161.4990234375,0.2852711,2082.8141730717775
angry,135.99917763157896,0.15085469,2183.8143141262412
angry,86.1328125,0.29395178,2285.1958627418944
angry,129.19921875,0.16714098,1755.676487012627
angry,143.5546875,0.119964525,2243.488443271354
angry,161.4990234375,0.23368329,2080.333099394389
angry,135.99917763157896,0.21802534,2303.990897432432
angry,123.046875,0.18067843,2415.6471313825514
angry,135.99917763157896,0.11331358,2621.2779925793807
angry,151.99908088235293,0.23064952,2132.149678811345
angry,117.45383522727273,0.27386633,2519.164078495349
angry,135.99917763157896,0.3928198,2415.9668415798205
angry,117.45383522727273,0.23224488,2573.9062075004595
angry,143.5546875,0.14523253,2488.0815846802197
angry,161.4990234375,0.19114766,1391.4839281620436
angry,151.99908088235293,0.28264746,2750.1826379722097
angry,86.1328125,0.26365873,2272.1049104752087
angry,112.34714673913044,0.19374251,3203.694186655123
angry,135.99917763157896,0.3959575,2401.3106834717
angry,151.99908088235293,0.24285369,2594.14199312732
angry,143.5546875,0.14224479,2021.5902916688083
angry,103.359375,0.17771429,2651.7030753145687
angry,143.5546875,0.26128733,2001.6341056215513
angry,95.703125,0.14983486,1732.985284727643
angry,86.1328125,0.29199412,2249.4843662889443
angry,172.265625,0.22099188,2555.765513205742
angry,172.265625,0.14632067,1889.2276611496227
angry,117.45383522727273,0.11906761,2027.5530298975063
angry,117.45383522727273,0.23539354,2203.7226369024297
angry,117.45383522727273,0.189297,2044.4457669411172
angry,103.359375,0.29908553,2183.88486738288
angry,135.99917763157896,0.1176773,2690.99726834269
angry,135.99917763157896,0.2145207,2507.94756122915
angry,123.046875,0.3234094,1801.115043671662
angry,95.703125,0.2860544,1866.752038624154
angry,71.77734375,0.24548085,1417.3987222587048
angry,151.99908088235293,0.24710022,2335.175628804279
angry,151.99908088235293,0.020301422,2631.54167679163
angry,135.99917763157896,0.23757577,2557.592718147897
angry,99.38401442307692,0.11280731,1464.5556575184949
angry,151.99908088235293,0.3622966,2647.1147041683184
angry,112.34714673913044,0.11394163,2661.701704911632
angry,143.5546875,0.17224236,2124.6084559732403
angry,112.34714673913044,0.15034978,2105.683187977005
angry,107.666015625,0.18072662,1857.9572204820777
angry,89.10290948275862,0.23790327,2113.0535070029528
angry,143.5546875,0.107610136,1509.840706333317
