mfcc_mean_0,mfcc_std_0,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean,rms_mean,tempo,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,mood,filename,file_id,file_id_clean
-481.93073,142.2399,108.98873,40.876644,6.7523637,22.855131,7.132075,18.701908,10.171532,8.438692,14.126973,8.1021185,5.9317946,7.8461885,6.9469814,5.872506,5.168914,6.106961,6.616131,4.7684073,2.899722,4.148704,1.5030346,4.4860935,-1.3041767,4.2586455,1354.98100220365,1847.1396785342854,2636.3423917315695,0.05131148110971362,0.0067641116,143.5546875,0.5758882,0.6324103,0.6929597,0.66239595,0.61970377,0.6414328,0.5675985,0.5346572,0.5369503,0.5741685,0.5518106,0.53187823,sad,151_Adele - Hello (Official Music Video).wav,151,151
-368.8646,86.02686,150.8291,40.177967,27.298565,21.054293,33.38867,12.5457945,18.89232,11.734311,9.331817,10.143913,8.383159,10.480133,0.06573713,9.422948,5.2512918,9.246917,-1.6760429,7.679444,-0.6143226,7.46099,1.8025842,6.603537,0.041319996,6.7693987,1081.5223142067566,1741.2471740738015,2137.54540788869,0.03607007667376161,0.03181711,92.28515625,0.619221,0.36774036,0.35994452,0.26347405,0.38277152,0.25082397,0.18782339,0.332687,0.2507634,0.24756376,0.1991496,0.3350687,sad,152_All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video).wav,152,152
-197.88235,88.58388,132.78093,46.236893,-0.071615025,16.813509,6.1692214,13.363445,-4.601489,17.72134,-2.036667,11.026455,-11.221189,12.298668,-5.999277,9.920853,-5.9266515,9.45672,-5.602798,8.010575,-7.9345355,9.348618,-7.552644,7.4737473,-5.8499403,10.2754755,1596.6730344223402,1850.5366679541642,3043.373263804905,0.06847086336590558,0.11408966,143.5546875,0.21318159,0.23362803,0.17145012,0.43611744,0.5430101,0.2120899,0.23080836,0.16629009,0.2767559,0.15948567,0.18746337,0.35437974,sad,153_Bruno Mars - Talking To The Moon (Official Lyric Video).wav,153,153
-278.6188,115.62778,125.81486,55.061707,3.093482,21.80513,3.6636302,15.304291,6.4629498,12.6626215,-1.6574478,10.522089,-5.3217144,10.900329,-4.7133126,8.664802,-6.4146047,7.9465857,-0.5861327,6.779188,-5.831558,7.3805013,-6.4139414,8.510189,-6.133216,7.295212,1287.6633091724386,1494.1993515864376,2554.392887269011,0.06329062258126934,0.057886757,73.828125,0.34050465,0.28022185,0.337927,0.3215582,0.460503,0.36138463,0.3347743,0.42030227,0.38011664,0.4751092,0.304161,0.26253048,sad,154_Bruno Mars - When I Was Your Man (Official Music Video).wav,154,154
-302.16345,67.508965,156.1972,43.109627,-11.669658,19.24499,17.55665,8.857111,8.498205,10.155865,1.335433,8.637238,0.28973785,10.300708,1.1199648,9.961497,-5.445563,10.310671,-16.82756,8.574071,-7.890979,7.9423294,-7.827971,7.3612847,-8.693197,7.731411,1297.0278102556463,1629.5673106977897,2621.1924833409926,0.05513685480359907,0.043767475,46.98153409090909,0.1583549,0.13349472,0.36140537,0.30975735,0.1684911,0.3974204,0.21066362,0.20306627,0.13207594,0.30450833,0.67455584,0.30667064,sad,155_Christina Perri - A Thousand Years [Official Music Video].wav,155,155
-228.12128,126.09782,94.808495,39.342407,20.035574,27.056196,31.429905,26.614607,15.6068535,16.80779,4.5496264,13.119725,-5.4730263,12.175357,-8.389666,11.83099,-7.4834375,12.790292,-3.1549163,11.899681,-11.340353,9.925897,-3.953795,8.79336,-9.966506,8.444738,1770.826456665393,2049.22021710751,3547.078551301277,0.0741733988003096,0.118847355,161.4990234375,0.18250898,0.20756257,0.3090828,0.27157527,0.33936533,0.28687367,0.28714725,0.2839497,0.31292474,0.5195453,0.3417856,0.24723655,sad,156_Ed Sheeran  Thinking Out Loud  Lirik Lagu Terjemahan.wav,156,156
-261.05386,103.14009,134.85545,45.428265,10.670596,17.359146,29.65371,20.807558,1.9659346,11.876913,8.055752,10.453455,6.9239883,10.372658,-0.615073,12.318054,-2.3011794,10.12694,1.5686837,7.299138,-4.2557673,9.487938,-0.09615834,7.416832,-7.677671,9.846752,1268.8590539046916,1741.6094732015004,2500.759878247146,0.04889728557952786,0.070367716,103.359375,0.6400583,0.44728377,0.4088807,0.5112727,0.36059576,0.36831486,0.31990215,0.40193522,0.59174395,0.42453966,0.3746813,0.41376725,sad,157_Ed Sheeran - Perfect (Official Music Video).wav,157,157
-304.35745,108.60363,113.88035,42.929222,20.848509,23.874641,27.65993,16.335434,22.53561,14.285234,11.370536,12.23062,2.5866587,9.446471,0.62849826,8.291758,-7.119106,10.380136,-7.9484215,9.7703705,-8.59777,8.226491,-7.1763663,9.346658,-12.45829,7.1395745,1210.2470229664348,1817.4102464370094,2378.4772843399282,0.03889356678115325,0.07475462,71.77734375,0.21392584,0.22913183,0.20557944,0.43535015,0.5383126,0.30544126,0.15997955,0.20623703,0.35983673,0.26213238,0.18771343,0.29198998,sad,158_Ed Sheeran - Photograph (Official Music Video).wav,158,158
-219.30795,87.94224,150.51642,49.393456,-17.297842,22.76402,5.403853,18.829964,18.630358,17.320248,-2.011413,11.26115,-6.3950496,10.717114,-3.5810463,8.162838,-5.2204847,8.818053,-5.15816,7.988814,-10.252268,8.022391,-6.5165124,7.387911,-5.8299346,7.954235,1388.8252554664682,1474.85291503498,2683.2337748524574,0.07820852179276316,0.088532306,60.09265988372093,0.5058791,0.29397947,0.29923138,0.2585786,0.4367122,0.5050848,0.264446,0.3620463,0.23670551,0.38442227,0.23026085,0.27178654,sad,159_Harry Styles - Sign of the Times (Official Video).wav,159,159
-301.51672,113.17157,109.26717,36.278763,-19.458246,38.546715,0.30160436,24.68825,-16.90353,16.022108,-2.1914723,12.302758,-4.067056,13.522924,3.4315782,10.989991,-10.905285,13.120833,-5.0956407,11.682741,-2.1177027,9.008665,3.6186202,9.410975,2.0431309,9.540862,1914.0834511663159,2017.083888542366,3623.119758157169,0.09741021974167957,0.028834928,92.28515625,0.43860364,0.33360445,0.41298428,0.5738249,0.39460433,0.40847263,0.29738557,0.29923317,0.25753176,0.28259015,0.4201095,0.36767545,sad,160_Imagine Dragons - Demons (Official Music Video).wav,160,160
