feature,importance
file_id_clean,0.1982064467051267
chroma_mean_2,0.03750916847226376
delta_mfcc_delta_std_0,0.030314417394109856
delta_mfcc_delta2_mean_3,0.024748749516271363
delta_mfcc_delta2_mean_11,0.023754893077547443
delta_rms_delta_std,0.01935800261930345
mfcc_mean_9,0.017345097580277583
delta_mfcc_delta_std_9,0.016671946806963225
chroma_mean_5,0.016606297762287135
delta_mfcc_delta2_mean_4,0.016367755714882384
delta_mfcc_delta_std_5,0.01570181095170503
mfcc_mean_5,0.01541917979191375
chroma_mean_4,0.014849727958180334
mfcc_std_9,0.012625137957638232
mfcc_std_1,0.012331520511711788
delta_mfcc_delta_std_6,0.012291731772189979
delta_mfcc_delta2_mean_6,0.01222732108545925
mfcc_mean_6,0.012149691630632432
spectral_centroid_mean,0.012019902210624708
delta_mfcc_delta2_mean_2,0.01191041170497462
mfcc_std_5,0.01166769254397544
mfcc_mean_12,0.01135589186941037
delta_mfcc_delta_mean_3,0.011149856698683697
mfcc_std_0,0.010994327866876439
delta_mfcc_delta_std_3,0.010869525144968454
delta_mfcc_delta2_mean_7,0.01086229421544478
delta_mfcc_delta2_mean_0,0.010564698653682609
delta_mfcc_delta2_std_2,0.010302715777786325
chroma_mean_6,0.00991143784987136
mfcc_std_12,0.009868696681650468
mfcc_std_11,0.009861797122700638
delta_mfcc_delta_mean_4,0.009790524424746762
mfcc_mean_1,0.009677257319915335
delta_mfcc_delta2_mean_5,0.009576122611129528
mfcc_mean_10,0.009496542713708435
chroma_mean_8,0.009031562391796618
tempo,0.00866551600447312
delta_mfcc_delta2_mean_12,0.0084003274163161
delta_mfcc_delta_std_12,0.008263301694558169
delta_mfcc_delta_std_1,0.008173868923578397
delta_mfcc_delta_mean_6,0.0078002349551256145
delta_mfcc_delta2_mean_9,0.007639077144735767
delta_mfcc_delta_std_11,0.007541255551538557
mfcc_mean_0,0.00721275269635461
spectral_bandwidth_mean,0.006984459223167128
mfcc_mean_3,0.006914682438675031
mfcc_mean_8,0.006851819975081498
chroma_mean_0,0.006743096696132568
chroma_mean_9,0.00655380221261855
delta_mfcc_delta2_std_1,0.006544727435266112
mfcc_mean_11,0.0063769410625004385
spectral_rolloff_mean,0.006351383165531598
delta_mfcc_delta2_mean_1,0.006323766085811569
delta_mfcc_delta2_std_4,0.006202575911661266
delta_mfcc_delta_mean_10,0.00618086241297801
delta_mfcc_delta_mean_11,0.006090960741833736
delta_mfcc_delta_std_10,0.00606389000001431
chroma_mean_11,0.005964179458759094
delta_mfcc_delta_mean_5,0.0059491614416078255
mfcc_std_2,0.005841480436329338
delta_mfcc_delta_mean_0,0.005818292036540135
chroma_mean_3,0.005373775424516683
delta_mfcc_delta2_mean_10,0.0053462559343809436
mfcc_std_6,0.005277584796626232
delta_mfcc_delta2_std_6,0.005018353013397859
mfcc_mean_7,0.00495486408713434
delta_mfcc_delta2_std_0,0.004661558824088864
mfcc_std_7,0.0045719571507726415
delta_mfcc_delta2_std_3,0.004546123220257227
delta_mfcc_delta2_mean_8,0.004475288603888024
delta_mfcc_delta_mean_12,0.004357220363796559
chroma_mean_7,0.00428499688383406
mfcc_mean_2,0.004259395453933364
delta_rms_delta_mean,0.0042550016813657655
delta_mfcc_delta_std_2,0.00420443508996846
delta_mfcc_delta2_std_10,0.004187635272817582
delta_mfcc_delta2_std_9,0.004177188684950214
rms_mean,0.004171713320873958
chroma_mean_1,0.003911442275312665
delta_mfcc_delta2_std_12,0.0037932015368761845
delta_mfcc_delta_mean_2,0.0037805862740262716
zcr_mean,0.0037075517675378413
delta_mfcc_delta_mean_9,0.003694946799028576
delta_mfcc_delta_std_8,0.003675967751111687
delta_mfcc_delta_std_7,0.003109948005080269
delta_mfcc_delta2_std_11,0.00303974707344438
delta_mfcc_delta2_std_5,0.002898668482605338
delta_mfcc_delta_std_4,0.0026825757575573797
delta_mfcc_delta2_std_7,0.002598480125489441
mfcc_std_4,0.002521302962525432
mfcc_std_8,0.002376398784212332
delta_mfcc_delta_mean_7,0.0021196450517764467
delta_mfcc_delta_mean_1,0.002095557095557096
mfcc_std_10,0.001959679582298718
chroma_mean_10,0.0017162387956603828
delta_mfcc_delta2_std_8,0.001388062774161877
delta_mfcc_delta_mean_8,0.0008193669451275938
mfcc_std_3,0.0005772519954389967
mfcc_mean_4,0.0005674621269696512
