File,True,Predicted
new_NF - Therapy Session.wav,angry,happy
old_Billie Eilish - Happier Than Ever.wav,angry,relaxed
"new_Zedd, Maren Morris, Grey - The Middle (Official Music Video).wav",happy,angry
new_Djo - End Of Beginning (Lyrics).wav,sad,relaxed
new_Keane - Somewhere Only We Know (Lyrics).wav,sad,relaxed
new_The Neighbourhood - You Get Me So High (Lyrics).wav,sad,relaxed
old_All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video).wav,sad,relaxed
old_Loreen - Tattoo.wav,sad,angry
old_One-Direction-Story-of-My-Life.wav,sad,relaxed
new_Henry Moodie - pick up the phone (official video).wav,relaxed,happy
new_Madison Beer - bittersweet.wav,relaxed,angry
new_The 1975 - About You.wav,relaxed,sad
old_Daniel Caesar - Always (Lyrics) - 7clouds Rock.wav,relaxed,sad
old_innocence- HildirSvensson & Six dior. (Lyrics) - yunooyle.wav,relaxed,sad
"old_Tyler, The Creator - Answer (Lyrics) - Rap City.wav",relaxed,happy
